name,salary,experience,views,applications,description
Senior Python develoepr,,5,73,29,"Description:This project is centered around the music industry and aims to equitably distribute earnings among song rights holders. It involves handling extensive data, emphasizing the need for sound system architecture and optimized databases.Technology:4-5+ years of experiencePython, Django/DRF, Postgres, MongoDB, Elasticsearch, Celery, SqlAlchemy, Pytest, Vue.js, AWS, Docker.Team Structure:3 developers + tech team on client's sideInterview process:1. technical check2. Sending the CV and feedback from tech expert to client3. A short 30-minute intro call with the client4. A short practical task if the intro call is successful5. Final technical interview on client's sideResponsibilities:Designing APIs, performance improvement and code optimization, developing new modules to integrate into the system, unit tests, PR reviews, and task estimation."
Middle+ ML (Python developer) for a Swedish company$3000-4000,$3000-4000,3,155,11,"On behalf of our client in Sweden, were looking for skilled remote Python developer.You will work for a software company based in Lund, Sweden with their AI products. We explain, build and implement AI solutions. Founded late 2020 with IP that has been under development since 2015 with 30+ man-years invested in R&D of our four products: Titus, Aiida, Siegfried and Papageno. Highly specialized team focusing on applied ML & Data Science with extensive backend, frontend, mobile dev & information security expertise. Product example you will work on is: A digital assistant that will revolutionize the way you process your files, including invoices, receipts and other types of important documents. With the help of artificial intelligence, The assistant automates your workflows  providing you and your business time for more value bringing tasks.Another product will be one that delivers insights and recommendations on client level, in a SWOT format, derived from large accounting and financial data sets combined with publicly available data.We look forward to share more information to you in an interview.Start of the assignment: November 1stProject for municipality in Sweden, long and stable collaborationAim of the assignment: working with scalability, improving quality of the productTeam: you will work closely with a Full Stack React developer, so its important to enjoy working in a team environment and it would be great if you have previously worked togetherTech Requirements:Looking for backend Python developer, oriented atcreating microservices and knowledge ofAPI integrations with atleast 3years ofcommercial experienceMust have isknowledge ofMachine Learning libraries, such asPytorch (atleast 2years)NLP libraries (atleast 1year ofexperience)Nice tohave isGolangGood tohave isData Vizualization tools for example Grafana, SQLWarrior, Meta.What we offer:Scandinavian work-life balance25 days of paid vacation5 days of paid sick leaveDirect collaboration with the customerBusiness trips to SwedenHR support from SFoxPossibility for self-developmentFlexible working place"
Python Developer,,5,76,12,"UST is looking for an experienced Python DeveloperQualifications: Bachelors degree in computer science, Computer Information Systems, Data Science, or a related field 5+ years of experience in a software development Strong understanding of object-oriented programming principles and design patterns Experience transforming, mapping, cleansing, and preparing data for analysis Must demonstrate an expert level of Python proficiency Must have experience using Postgres or another similar RDBMS Experience designing and building data analytics solutions is highly desirable Experience with software development best practices, such as version control and continuous integration and delivery (CI/CD)Skills: Strong analytical skills and proficiency in troubleshooting and root cause analysis Experience in data modeling, data warehousing, data analysis and reporting (not a must) Ability to perform data modeling and data analysis (not a must) Experience with SQL and data management systems Familiarity with Agile development methodologies Linux or UNIX experience is preferred Java experience is preferred Ability to adapt to dynamic requirements and take ownership of problems Experience working in a software/product development environmentTechnologies: Oracle, Postgres, Python (strong preference for Python Expert) BigData (Hadoop, Hive, HDFS, Spark) Databrick, Snowflake, Redshift SQL NoSQLWe offer: Communication with clients from all over the world An opportunity to rise to interesting challenges with international business cases for professional and personal growth Working in a team of professional enthusiasts Professional and career opportunities Flexible schedule Paid vacation (18 days) and sick leaves (10 days) B2B or Regular Employment in Poland Impressive corporate database for education and self-education The environment where you can implement your ideas Friendly professional staff and warm atmosphere Team parties and corporate events"
Middle to Senior Python Engineer,,3,41,11,"As a Middle to Senior Python Engineer, you will be instrumental in developing complex applications, collaborating with cross-functional teams, and pushing the boundaries of what's possible with Python. Your extensive experience will guide the team towards maintaining best coding practices, ensuring efficient and high-quality software solutions.Skills and Qualifications:- Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field.- Minimum of 4 years of experience with Python, with a deep understanding of its strengths and weaknesses.- Strong experience with Python frameworks such as Django, Flask, FastAPI, etc.- Solid understanding of RESTful APIs and their integrations.- Proficiency in databases, both relational (e.g., PostgreSQL, MySQL) and non-relational (e.g., MongoDB).- Familiarity with cloud platforms like AWS, GCP, or Azure.- Strong understanding of software engineering best practices, including design patterns, code reviews, and automated testing.- Experience with front-end technologies (HTML, CSS, JavaScript) is a plus.- Ability to communicate complex technical concepts clearly, both written and verbally.- Passion for innovation and staying updated with the latest technological developments.- Strong problem-solving skills with a knack for thinking creatively.- Ability to thrive in a fast-paced, collaborative, and diverse environment.- Strong team player with excellent interpersonal skills."
Large Language Model (LLM) Engineer,,3,22,2,"We are seeking a dedicated Large Language Model (LLM) Engineer to join our AI team. The ideal candidate will be responsible for developing, fine-tuning, and deploying language models to solve diverse business challenges. If you have a passion for and AI and a deep understanding of transformer architectures, this position might be for you.Skills and Qualifications:- Computer Science, Artificial Intelligence, Machine Learning, or a closely related field.- Solid experience with deep learning frameworks such as,, or others.- Strong understanding of Natural Language Processing and transformer architectures like ,,, etc.- Proficiency in programming languages like Python. Familiarity with libraries such as Hugging Face's Transformers is a plus.- Experience with high-performance computing, GPU optimization, and distributed training.Innovative mindset with the ability to troubleshoot complex problems and provide effective solutions.- Strong written and verbal communication skills to collaborate with teams and present findings."
Python Tech Lead,,5,42,6,"Lets start with what PLANEKS offer:0. Fast and comfortable hiring process.1. 100% remote work opportunity and flexitime - choose working hours between 8:00-20:00.2. Manage your compensation $$$$ budget - Travel tickets, Work equipment, Health insurance, Software, Sport, Training.3. Salary paid in USD + tax compensation. Revision every 12 months. We want everyone to be confident in what tomorrow brings.4. Everything to provide a good rest. YES: Paid vacation, national holidays, sick leaves(and support in case of serious diseases). NO: overtime, work on weekends.5. Regular feedback, mentorship, code review. Friendly and professional team that supports you. Well, we're proud of how we handle that. So you can always count on us.6. Speaking clubs with a native speaker to constantly maintain your English level.7. No bureaucracy - transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently.We propose something more significant than a job. PLANEKS means developing a new lifestyle for our colleagues and clients. So take your part in it!This position supposes that you have the following knowledge and competencies:- 5+ years of commercial software engineering experience using Python for Web.- Strong soft skills including leadership - ability to hire, develop, inspire, motivate, train and manage the team to meet high goals.- Knowledge of Python frameworks/CMSs.- Knowledge of SQL and NoSQL databases.- Knowledge of designing and writing APIs or RESTful endpoints.- Multi-threading, asynchronous and microservice software development experience.- Understanding of network principles (TCP / IP, DNS, HTTP, SSL).- Knowledge of message streams and brokers RabbitMQ, Kafka, etc.- Strong expertise in software design, development and development management- Knowledge OOP, Architecture Patterns and Best Practices for tech solutions.- Excellent English communication skills (both verbal and written).Will be a plus- Knowledge of another programming language except for Python.- Strong understanding of CI/CD process and cloud platforms.- Experience with Machine Learning or Artificial Intelligence.- Business-oriented approach.Responsibilities- Being on the edge of technology, management, and business.- Working with the founders on directions and goals for the development team.- Technical mentoring and coaching of developers.- Being a part of recruitment processes.- Integrate the newest technologies and approaches which will be used by other developers in the company.- Constantly adding value to the experience of our customers and coding!"
Senior/Lead Django Developer(project work),,5,33,4,"! :)Dataforest-     Big Data, Data Science   .  Senior/Lead Python Developer  part-time    ,   Python, Django/DRF, SQL       Middle/Senior/Lead.        .     !"
Backend Python Engineerto $6800,to $6800,5,79,10,"We are a pioneer in the field of Enhanced Sensory AI, and proud to say that we transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.Today, our advanced AI can see, hear, and guide people with visual instructions using smartphones and PCs.We proudly serve a diverse clients portfolio, including global industry leaders such as Vodafone, Orange, Hitachi, and dozens of Fortune 500 companies.. Our AI technology is the result of extensive training on vast datasets, encompassing customer interactions in voice, text, and visuals, enabling pattern recognition and optimal issue resolution.We are rapidly expanding globally and is backed by leading venture capital firms like Salesforce Ventures, Scale Ventures, and OurCrowd.Responsibilities:Serve as a technical domain expert on backend development.Establish design principles with the broader development team.Hands-on web development of production-ready applications at scale.Design and implement efficient and well-engineered solutions.Work closely with data science, product, QA and infrastructure teamsSkillsBack-end: Python, Django with celery.AWS experienceData: Basic SQL and NoSQ-mongodbL, AWS S3Experience5+ years in backend development5+ years in Python, Django with celery.Extensive AWS experience, including serverless architecturesExperience with CI/CD processes and tools (Jenkins, Docker, Kubernetes)Experience with SQL and NoSQ-mongodbL.Nice to have: Experience in Machine Learning/Deep LearningEducationBachelors or Master's in Computer Science, Software Engineering or a related fieldCurious? Apply now!"
Middle Python Developer,,3,119,27,"Required skills: 4+ years of commercial experience with Python; 3+ years of commercial experience with Django; Understanding the principles of async programming; Proficient in SQL (data modeling and structuring relational databases); Good knowledge with Docker; Good communication skills; At least an Upper-Intermediate level of English.Nice to have: Experience with CI/CD processes; Experience with AWS cloud environment; Experience working with Celery, RabbitMQ, Redis.Responsibilities:  Writing clean, efficient, and maintainable code in Python  Implementing APIs and integrating external systems  Designing, optimizing, and managing SQL database modules  Performance improvement and code optimization  Covering code with unit testsOur benefits:  Paid vacation and sick leaves.  Compensation of English lessons.  Covering the cost of professional certifications.  Individual development plans and clear career paths.  Mentorship and support from experienced colleagues.  Team-building and corporate activities."
Python Developer,,2,195,84,"      - Python       -. ,      :-  -    -      API-   -       .   :-       1,5 -      web--     HTTP  RESTful APIs-    MySQL/PostgreSQL, Docker, Git-    -     -      Linux- ,    -    -      (PHP, Javascript)      :-     ,     -     -      -   ,     -   -  -     .RONIS :-        - ,       -  ,   ."
Middle Python Engineer (BI)$3000-7500,$3000-7500,3,349,128,"DescriptionTeramind is a hybrid, global workforce building the next-generation Insider Risk Management and User Behavior Analytics platform.Join our team of innovators who are redefining insider risk management through cutting edge technology. More than 10,000 organizations across the globe use Teramind to mitigate insider threats and protect their sensitive company data with the most robust, enterprise-grade software on the market.As a global team, Teramind embraces an inclusive and flexible work environment and team culture. We win together, learn from each other and respect each other while delivering best-in-class security solutions.About the RoleTeramind is seeking a Python Engineer with a proven track record for a full-time remote position.You will work on the development and improvement of our analytical and reporting services.Working hours align with your locations normal business hours.Requirements- 3+ years experience with Python- Experience with: PostgreSQL (or any SQL database)- Proficient knowledge of GIT- Experience with algorithms, data structures, complexity analysis, and software design- Understanding fundamental design principles behind scalable applications- Ability to learn and implement new knowledge- Technical English level: Intermediate and higher- Good communication skillsWill be a plus:- Experience with flask, pydantic, sqlalchemy, fastapi- Experience with Data warehousing / analytics solutions (Snowflake, Redshift, Tableau, Druid, etc)- Experience with ClickHouse DBMSResponsibilities include but are not limited to:- Design, develop, test, deploy, maintain and improve software with a strong focus on customer-facing features- Be the technical owner of features, from design to implementation to ongoing supportBenefitsThis is a remote job. Work from anywhere! Were a global, distributed team looking for the finest talent. Weve been thriving as a fully-remote team since 2014. To us, remote work means flexibility and having truly diverse, global teams.At Teramind, were a collaborative, forward-thinking team where new ideas come to life, experience is valued and talent is incubated.Competitive salary with a focus on a global marketWork-from-home opportunities across our global locations with a culture rooted in inclusion and teamworkFlexible Time Off with Global Holiday Schedules to promote work-life balanceOngoing training and development opportunitiesAbout our recruitment processWe dont expect a perfect fit for every requirement weve outlined. If you can see yourself contributing to the team, we want to hear your story.You can expect up to 4 interviews:Test task, 70'Intro call, 30'Technical interview, 60'Final interview, 60'All roles require reference and background checksTeramind is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration without regard to race, age, religion, color, marital status, national origin, gender, gender identity or expression, sexual orientation, disability, or veteran status."
Senior Python Engineer (Integrations)$5500-7500,$5500-7500,5,107,17,"Teramind is a hybrid, global workforce building the next-generation Insider Risk Management and User Behavior Analytics platform.Join our team of innovators who are redefining insider risk management through cutting edge technology. More than 10,000 organizations across the globe use Teramind to mitigate insider threats and protect their sensitive company data with the most robust, enterprise-grade software on the market.As a global team, Teramind embraces an inclusive and flexible work environment and team culture. We win together, learn from each other and respect each other while delivering best-in-class security solutions.About the RoleWe're looking for a proactive Senior Python Developer who will be instrumental in optimizing large-scale integrations with third-party systems. Your responsibilities go beyond coding, with a focus on enhancing application efficiency, speed, scalability, and adaptability. Collaboration with our business teams is essential, as we expect you to not only have technical expertise but also the ability to align your ideas with our business goals, ensuring that all development efforts support our overall objectives.RequirementsDevelop and maintain server-side applications using Python web frameworks such as FastAPI or Django.Design, develop, and maintain backend systems using Python and associated technologiesCreate and maintain databases using SQL and NoSQL database technologies.Write unit tests and conduct system testing to ensure code quality and reliability.Optimize applications for maximum speed and scalability.Stay up to date with emerging trends and technologies in software development, data processing, caching, cloud deployment, distributed computing, and API development.About You5+ years of software engineering experienceExperience with Python utilizing Django or FastAPI to build microservice/web architecturesExperience with Docker or similar container management toolingExperience with Object Oriented Programming / Object-Oriented Design PatternsExperience with open-source tooling and frameworks.Experience building/interacting with a variety of REST, webhook, websockets, etc. APIsExperience designing and building scalable solutions that leverage both relational and NoSQL databasesAn ability to maintain critical production software and build new production software from scratchFamiliarity or willingness to learn concepts related to the deployment of ML models in a production environmentExcellent written and oral communication skills and are comfortable working with a cross-functional, globally distributed teamThis is a remote job. Work from anywhere! Were a global, distributed team looking for the finest talent. Weve been thriving as a fully-remote team since 2014. To us, remote work means flexibility and having truly diverse, global teams.BenefitsCompetitive salary with a focus on a global marketWork-from-home opportunities across our global locations with a culture rooted in inclusion and teamworkFlexible Time Off with Global Holiday Schedules to promote work-life balanceOngoing training and development opportunitiesAbout our recruitment processWe dont expect a perfect fit for every requirement weve outlined. If you can see yourself contributing to the team, we want to hear your story. You can expect up to 4 interviews.Test task, 70'Intro call, 30'Technical interview, 60'Final interview, 60'All roles require reference and background checksTeramind is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration without regard to race, age, religion, color, marital status, national origin, gender, gender identity or expression, sexual orientation, disability, or veteran status."
Python Backend Engineer (Outstaff project),,5,206,9,"As a backend engineer of our clients team, you will build the foundation for a seamless and stable TV experience for millions of TV lovers, which involves quite sophisticated engineering and architecting to bring what used to be broadcast into the personalized world of the internet. The backend engineers team tackle this challenge every day by using the latest standards in software design and development and by constantly improving processes and tools. They do all that with a strong focus on scalability, distribution, efficiency and maintainability.What youll do:Wrap your head around our multi-tenant, distributed and international web API service infrastructure and push it to the next level;Design, develop and deploy backend services and API gateways with focus on high availability, low latency and scalability;Collaborate closely with other engineers (frontend, backend, video and ops), understand their needs and become a valued member of an autonomous, cross- functional team;Take operational responsibility for the services that are build by your team;(Build and maintain admin interfaces to make multi-tenancy business logic configuration accessible for tenant-facing teams).What youll bring:4+ years of experience in programming Python, building highly available services and APIs that scale and work efficiently even under the highest load;Experience in python-based web frameworks such as Sanic, FastAPI and/or Django, additionally with both relational and non-relational databases (MySQL, Postgres, Elasticsearch, Redis);Proficient skills and DevOps mentality with on-prem and cloud hosting experience;Experience in working in a distributed services landscape;A deep understanding of how web-based platforms work, from client requests to server-side handling to front-end rendering;Fluent verbal and written English language skills.It will be an advantage:BS/MS degree in computer science or similar discipline;Experience in programming languages such as GoLang or Ruby;Experience in declarative API frameworks such as GraphQL or Falcor;Experience with service-oriented architecture and/or event-driven architectures with integrated external (3rd party) services;Basic Frontend skills to maintain simple Admin UIs (HTML, Javascript, Bootstrap).About the client:The client aims to create a new TV experience, independent of location, time and device.They bring a huge selection of sports events, movies and TV series to the favourite devices of users. In addition, the clients B2B team delivers TV and VOD solutions to cable operators, internet service providers and many others, thus positioning the client as a top-notch technology partner.The client has built a great team that defines and develops the TV experience of the future together. They treat each other respectfully and pull on one string to make our vision reality. Flat hierarchies and open communication enable them to cooperate transparently and to act fast. Be ourselves and simply do what we are best at."
Senior/Lead Python Software Engineer,,5,21,2,"We are inviting a Senior/Lead Python Software Engineer to join our team. The project is a hosting platform. We are modernizing an old-school data center company into a cloud-focused organization and building out the infrastructure and tools from the ground up. We are working with CDN, CRM, and API via VM.Required skills 5+ years of commercial experience with Python 3+ years XP with Django+DRF 2+ years experience of direct voice communication with English-speaking clients, incl. non-technical ones Experience with Docker, Kubernetes and Helm Experience with PostgreSQL Deep experience writing unit tests Experience setting up CI/CD pipelines (Github actions preferred) Experience playing Team Lead role Mentorship experience Decent experience of work breakdown for complex functionality Experience in pre-sales activities English level: Upper-IntermediateWill be a plus PHP experience (some basic front experience) Frontend experience (HTML+Bootstrap+jQuery, ideally - also VueJS) Experience with Ansible Experience with CRMs for hosting providers (WHMCS, EasyDCIM)Responsibilities Write new and improve existing systems functionality  Write effective, scalable code  Participate in code reviews  Daily communicate with client stakeholders and team  Participate in roadmap creation, high-level planning and backlog filling  Conduct work breakdown for new assigned functionality, be more owner that doerBeing a member of the CodeIT team means Career Path and growth opportunities (seniority level system, individual development plan, technical leads) Compensation of participation in conferences and workshops, invited experts Development of soft skills (people management and emotional intelligence training) Free access to the company account on Udemy educational platform Internal library Corporate English courses and communication with clients from English-speaking countries Experienced and supportive team members Paid time off (vacation, sick-leave, remote work) Legal support Well-equipped offices located in Kharkiv, Vinnytsia, and Sofia"
Sr Solutions Engineer (integrations)$5000-6000,$5000-6000,5,85,19,"Outstaffing company looking for Sr Solutions Engineer (integrations) for a foreign projectIn particular, you will:-Use robust software engineering best practices to design, implement, and improve modular components in a cutting-edge ML product-Play a key role in the development of  our clients integrations with third-party data platforms, CDPs, activation platforms, data warehouses, and other MarTech components our customers need-Work closely with customers to understand, translate and generalize their particular use cases into generic platform components-Apply your extensive knowledge of Python and its ecosystem to produce clean, readable, and extendible code, and coach others on the team in doing the same-Collaborate with teams responsible for product strategy and roadmapTech stack of the whole project:-Data Science/Back End: Python (Pandas, Polars, Ibis), SQL, BigQuery, FastAPI-Web: JavaScript (Vue, Node.js), HTML, CSS-Architecture/DevOps: Kubernetes, Airflow, Terraform, GCP-We write well-tested, type-hinted, documented, modular code and use pre-commit hooks, CI/CD, and issue tracking for development.Why is it great:No toy datasets in notebooks  were implementing AI pipelines in production at scale!-Learn tons about data architecture, data science, and self-learning AI.-Work in a team that not only talks the talk of development best practices, but walks the walk  unit & integration tests, modular design, CI/CD, pair programming, code reviews  the works.-Join fast-paced, supportive, and professional team. We make sure all of our team members are empowered and receive great mentorship and coaching.Whos a Fit:-Exceptional coder: you write clean, object-oriented code; you care about good design and terse, testable APIs-Tinkerer: you regularly explore and learn new technologies and methods, especially in the data architecture and data science domains-Entrepreneurial: you proactively identify opportunities and risks, work around obstacles, and always seek creative ways to improve processes and outcomes-Structured and organized: you can structure a plan, align stakeholders, and see it through to execution-Clear communicator: you are able to express yourself clearly and persuasively, both in writing and speech-Strong problem solver: you have the ability to break down intricate technical problems and identify innovative approaches to resolve themBenefits and Perks:-Generous PTO (starting at 25 days PTO per year) and Parental Leave policy (12 weeks paid)-100% remote work environment with flexible hours-Quarterly gatherings where we meet in person in a different city to work together, bond as a team and celebrate our progress-Weekly team events (lunch and learns, trivia, virtual escape rooms, town hall and team health barometer meetings)-Ability to learn and develop from an experienced leadership team (ex-Amazon, McKinsey, BCG, and IBM, among others) who are focused on building a talented, diverse, and inclusive team-Dedication to building a strong culture (e.g., team resource groups, weekly recognitions, major life event celebrations, mental health/sustainability days off, etc.)Leave your resume here and our recruiter will contact you!"
Продуктова компанія знаходиться в пошуку Python Engineer для створення продукту з нуля,,3,71,2,"  ,           .  5-   ,           .       Data Science     .     -.            .     Python  Data Science .       Gulliver.:    ,   .    Python, API   . :   ML,   ."
Продуктова компанія в пошуку Python Engineer для створення продукту з нуля,,5,27,4,"  ,           .  5-   ,           .       Data Science     .     -.            .     Python  Data Science .       Gulliver.:    , /,   .    Python, API   . :   ML,   ."
"Senior DevOps Engineer 3+ years (Python, cloud) Israel working schedule",,5,27,0,"Revised job vacancy description:Project Description:As a DevOps expert, you will be a part of the SaaS production environment for a leading German-based company with 440,000 customers globally. Initially renowned for their leadership in enterprise resource planning (ERP) software, this company has evolved into a market leader in comprehensive enterprise application software, databases, analytics, intelligent technologies, and experience management. As a top-tier cloud company serving 200 million users worldwide, they empower businesses of all sizes and industries to operate profitably, continually adapt, and fulfill their objectives.Responsibilities:Your key responsibilities will encompass:- Collaborating with developers and infrastructure teams to ensure the availability and scalability of production systems.- Constructing and sustaining highly available and scalable production systems.- Overseeing essential production systems, incorporating frequent changes and updates.- Swiftly identifying and resolving issues within production systems.- Providing support during non-standard hours, including nights and weekends, as needed.Mandatory Skills Description:The ideal candidate should possess:- A minimum of 3 years of DevOps experience within a SaaS production environment.- Experience working with Docker and container orchestration systems like Kubernetes (1-2 years of experience is acceptable).- Proficiency in configuring Amazon Web Services and/or similar cloud-based platforms (proficiency in one cloud platform is essential).- Experience in building Infrastructure as Code using Terraform (a must-have).- Proficiency in monitoring, logging, and metrics collection tools within high-scale production environments (focused on dashboard creation rather than administrative tasks).- Strong scripting skills in Bash.- Programming experience in one or more of the following languages: Python (a must-have with multithreading capabilities, able to build complete services), Ruby (nice to have), Java (nice to have).- Experience with NoSQL databases such as Elasticsearch (most important), Redis, and CouchDB (nice to have).- Experience with event streaming technologies like Kafka (most important), Spark, and Hadoop.- Knowledge of storage and data lake principles (scheduling, troubleshooting).Nice-to-Have Skills:Additional qualifications that would be advantageous include:- Experience with data warehouse or data lake management.- A passion for learning and exploring new depths in the technology you use daily.- Willingness and ability to tackle challenges independently and drive solutions.- An open-minded and flexible approach, thriving in a highly dynamic, fast-paced, ever-changing environment.Languages:- English: B2 Upper IntermediateIf you are an experienced DevOps professional who thrives in a dynamic environment and is interested in contributing to a global leader in enterprise software and cloud services, we encourage you to apply. Join us in assisting businesses worldwide in achieving their goals through cutting-edge technology solutions."
DevOps engineer (with Python),,2,86,7," : ,             ,         .                .       ,      .   -           ,      ,    .           ,   ,     Agile.      ,      .': Python/PowerShell/Shell    .      ,   GitLab CI/CD, Terraform, Ansible, Docker  Kubernetes.         .' :2+    . Python         .    AWS/Azure,   EC2, S3/Azure Storage, Lambda/Azure functions. :    AWS/Azure,  IAM Roles & Polices, GIT Lab CI/CD, Terraform  Ansible.     (, Docker, Kubernetes).      RESTful API  .:: B2 Upper Intermediate"
Middle Python Developer,,2,251,49,"We're in search of people that are motivated, treat every project as their own, and are always open to new ideas and approaches.Join the CodeLions team as Python Software Engineer and become part of the rapidly developing company! The project aims to build Beauty's most elevated, engaging, and innovative digital shopping experience. We are anchored on three core principles: Focus on customers and long-term value creation, Set the highest standards, and Build the best work environment for our people.Requirements:- 2+ years of experience in Python Development;- Good knowledge of AWS;- Good knowledge of GraphQL;- Able to propose creative solutions to complex problems;- Good communication and self-learning skills;- Level of English: Upper-Intermediate, both writing and speaking;Tech Stack : Python, Django, GraphQL, AWS, CeleryInterview stages:- HR interview (20 minutes)- Tech interview (1 hour)Do you think your software development skills can bring our company to a new level?Urgently send your CV!"
Software Engineer (Python),,3,75,10,"This is a short-term contract till the end of the 2024 year.As a Software Engineer with the Core Data Engineering team, you will design, develop, document, test, and debug existing and new software for our engineering development platform. This Senior Software Engineer will serve as a technical expert on development projects with a group of talented and skilled engineers. This position will have the opportunity to work with the SPS Core Data engineering teams in Ukraine and the USWhat Makes the Job Special?When you become part of our team, your job wont only be to develop code. You will also participate in the design, architecture, and development of engineering solutions to solve tough business problems. You will join a team that is developing the SPS Commerce Core Data Platform.Your TeamYour team will be distributed between Ukraine and the US. The current Core Data team is located in one of the SPS offices in the US. We are expanding the development to our development into our Kyiv location. The Core Data team is developing highly reusable, sustainable services that help to increase value, and consistency while decreasing delivery time for our fellow developers. Our primary clients are other SPS technology teams however we desire to expose many of our services to external developers in the future.How We WorkOur daily work is based on DevOps and Scaled Agile practices - TDD, CI/CD, and iterative development processes. There are daily stand-up meetings, sprint planning, reviews, demo sessions, and retrospective meetings. Also, each quarter our team enjoys two Development Days when we can try new tools or technologies.What We Expect of YouThere is an existing Core Data team in our Minneapolis office. We are adding to our engineering staff in our Kyiv office to work with and support our engineering community in Ukraine and the US. We understand full well that our product is a complex mix of Python, Java, and Kotlin and that no one will be a perfect fit. With this in mind, we are willing to teach coach/mentor you and provide you with the support needed to grow fast.Other requirements include: 3+ years developing in Java or Python Experience with Docker and configuration management; Intermediate English.Extra Points For: Experience with AWS or any other cloud provider infrastructure (Lambda, API Gateway, Kinesis, S3, EC2, DynamoDB, SQS) Experience with Kotlin Experience with Kubernetes Experience in distributed systemsThe reasons you will love SPS COMMERCE:-Were a successful, rapidly growing international company-Were passionate about what we do-We get to be creative on a daily basis-Youll work with a smart, experienced leadership team that wants to do it right-We are committed to building a highly diverse and inclusive culture and environment"
Senior Python Developer (ADTECH),,5,57,8,"We are looking for a Senior Python Developer to join the AdTech project that helps publishers control Ad traffic revenue. Together, we will use a unique approach to identify winning strategies quickly and scale them efficiently.Bring your expertise to our dynamic and forward-thinking environment!CUSTOMEROur client provides a solution that helps publishers control Ad traffic revenue. During the first stage of development, the main platforms for the interaction will be Facebook Ads, OB Media, and Zemanta. Our main development goal is to build the system based on the code-less concept so the system will be self-supportive.REQUIREMENTS4-5+ years of experience with Python (FAST API)Good knowledge of JavaScript (TypeScript, React)Experience with AWSAbility to work independentlyAt least an Upper-Intermediate level of EnglishFocus on simplicity and qualityExcellent problem-solving skillsGood communication skillsREQUIREMENTS4-5+ years of experience with Python (FAST API)Good knowledge of JavaScript (TypeScript, React)Experience with AWSAbility to work independentlyAt least an Upper-Intermediate level of EnglishFocus on simplicity and qualityExcellent problem-solving skillsGood communication skillsWOULD BE A PLUS:Experience in the AdTech domainExperience withFacebook Ads/Zemanta/TaboolaRESPONSIBILITIESWriting clean, efficient, and maintainable code in PythonImplementing APIs and integrating external systemsDesigning, optimizing, and managing SQL database modulesPerformance improvement and code optimizationCovering code with unit tests"
Senior Python Engineer для проєкту з нуля для трейдингу в криптобіржах,,5,37,2,"     Python Engineer       .   ,           .  5-   ,           .       Data Science     .     -.            .     Python  Data Science .       Gulliver.:    ,   .    Python, API   ; ML     ."
Middle Python Engineer для проєкту з нуля для трейдингу в криптобіржах,,3,53,6,"     Python Engineer       .   ,           .  5-   ,           .       Data Science     .     -.            .     Python  Data Science .       Gulliver.:    ,   .    Python, API   .  :   ML,   ."
Python Developer / Web Scraping /  Scrapy,,2,197,83,"    Python Developer / Web Scraping /  Scrapy     2-            B1. :Python,Django, SQL, Docker.':   -   Scrapy.    -.       , ,      .   :     9:00  18:00, ,  -;   ;    ;    ;     ;   2   ; .             ,    ."
Junior+/Middle Python Developer,,2,447,134,"Join the team of innovative high-end web & mobile development leaders!WeSoftYou works with impact-first companies from all around the globe, using a data-driven approach and continuously increasing our operational effectiveness.We create web and mobile solutions, as well as custom B2B and B2C applications for various industries and business areas, including Healthcare, e-learning, Retail, Web3, Fintech, and AdTech. Required skills: 3+ years of commercial experience with Python; 2+ years of commercial experience with Django and Django REST Framework; Experience with Celery or any other async task queue; Proficient experience with SQL Databases (PostgreSQL, etc.); Experience with Docker and docker-compose; Upper-Intermediate+ level of English. As a plus: Experience with AWS or any other cloud solutions; Knowledge of the Microservices Architecture. Responsibilities: Develop new features in the project; Write reusable, testable code; Reviewing the code of teammates; Reviewing your implemented code in the dev environment; Participate in the grooming process; Participate in the estimation process. What we offer: Benefits program: 18 working days of fully paid vacation, 5 days compensated sick leaves; Coverage of taxes and free tax reporting support by our Financial department; Help with individual entrepreneurs questions and accounting supportfinancial aid and additional days off for various occasions (e.g. marriage, childbirth, etc); Internal educational events (WeThursdayYou); Regular company updates from the CEO (Friday letter). Comfortable Working conditions: Flexible working hours;Provision of required equipment;Hybrid working model (remote or from a cozy office in the Kyiv center); Community:To build community among our employees we keep going with: Various corporate events (psychological training, based on employees needs to care about mental health, New Year celebration, summer party, team buildings, etc.); Celebration of important personal and project milestones (project successes, B-days, anniversaries); Open door culture (regular one-two-one meetings with HR/PM/Manager)morning online sports activities for all team members to care about physical health; Support of team members during russian aggression (evacuation, safe accommodation in Western Ukraine, financial support for those who joined Armed Forces, donations, etc.)."
